T_sec,Sa_X_ft_s2,Sa_Y_ft_s2,Sa_SRSS_ft_s2,Sd_X_ft,Sd_Y_ft,Sd_SRSS_ft
6.099999999999999645e+00,4.557070810475442602e-01,9.031152834149802633e-01,1.011576076651970357e+00,4.295222938192818640e-01,8.512225599478503435e-01,9.534512297186201746e-01
6.149999999999999467e+00,4.477783378760758493e-01,9.078512718365315814e-01,1.012274355916551460e+00,4.289963279188918621e-01,8.697715565288319794e-01,9.698146265727696225e-01
6.199999999999999289e+00,4.400178382626458440e-01,9.115970748134458734e-01,1.012237583177864053e+00,4.284438619684996508e-01,8.876189493461641433e-01,9.856122676270172578e-01
6.249999999999999112e+00,4.324224274275547675e-01,9.143818608308038609e-01,1.011475824307601856e+00,4.278667205122339001e-01,9.047485589888711877e-01,1.000819606879447932e+00
6.299999999999998934e+00,4.249889260772947708e-01,9.163569669129937312e-01,1.010111715652439068e+00,4.272666307209344594e-01,9.212681313944646178e-01,1.015525353524306507e+00
6.349999999999999645e+00,4.177141411156606865e-01,9.174879681655850883e-01,1.008101817981005066e+00,4.266452273729722244e-01,9.371046470786972282e-01,1.029655898646059775e+00
6.399999999999999467e+00,4.105948751718096479e-01,9.177538213044591497e-01,1.005415450466269123e+00,4.260040575988292555e-01,9.521961315005064153e-01,1.043147606973814812e+00
6.449999999999999289e+00,4.036279350374362140e-01,9.173152993150855972e-01,1.002189038205921534e+00,4.253445853802794163e-01,9.666701974281673992e-01,1.056110452040000425e+00
6.499999999999999112e+00,3.968101391335640549e-01,9.161276848796513494e-01,9.983727868497559443e-01,4.246681958332244045e-01,9.804444310324392786e-01,1.068463550569119569e+00
6.549999999999998934e+00,3.901383240886074910e-01,9.142190295549831314e-01,9.939840772985865103e-01,4.239761992730942120e-01,9.935120072075404041e-01,1.080195318456627307e+00
6.599999999999999645e+00,3.836093505133593151e-01,9.117127059943210821e-01,9.891290067896950644e-01,4.232698350735709658e-01,1.005972576487695003e+00,1.091392769780201277e+00
6.649999999999999467e+00,3.772201080556421560e-01,9.085386215942139465e-01,9.837364671749363465e-01,4.225502753344753670e-01,1.017716809120928101e+00,1.101951105427334543e+00
6.699999999999999289e+00,3.709675197993632656e-01,9.048452705030837206e-01,9.779375564410489607e-01,4.218186283625351973e-01,1.028878730651052065e+00,1.111990286657114080e+00
6.749999999999999112e+00,3.648487380322231188e-01,9.005803348904763972e-01,9.716787232594673585e-01,4.210761635177178719e-01,1.039370217916696149e+00,1.121425693202630525e+00
6.799999999999998934e+00,3.588878278326131932e-01,8.958271412038134596e-01,9.650423513420581800e-01,4.203555807451704318e-01,1.049258038262715242e+00,1.130327936982241877e+00
6.849999999999999645e+00,3.530530482401191272e-01,8.906098762927026069e-01,9.580357021644563265e-01,4.196250169413705544e-01,1.058543995839686502e+00,1.138683690043593932e+00
6.899999999999999467e+00,3.473415692687272793e-01,8.849186256304666376e-01,9.506456436179445690e-01,4.188853838726007695e-01,1.067190083161192904e+00,1.146455249200634796e+00
6.949999999999999289e+00,3.417506041827800822e-01,8.788560682575555782e-01,9.429641902916697793e-01,4.181375435047003375e-01,1.075295004537493160e+00,1.153732357209171999e+00
6.999999999999999112e+00,3.362774113727568515e-01,8.723425296144470265e-01,9.349138924915464388e-01,4.173823105677459400e-01,1.082738026115563912e+00,1.160400631838632624e+00
7.049999999999998934e+00,3.309192959128006706e-01,8.655263426338953847e-01,9.266301474701926777e-01,4.166204550024967812e-01,1.089679517448869817e+00,1.166607926543484997e+00
7.099999999999999645e+00,3.256736108018989939e-01,8.583014946241729337e-01,9.180113051846562344e-01,4.158527042561016018e-01,1.095965364610484327e+00,1.172208834663390764e+00
7.149999999999999467e+00,3.205377579624485995e-01,8.508289168839888728e-01,9.092053123940569970e-01,4.150797454867236613e-01,1.101779249090287349e+00,1.177373648779044490e+00
7.199999999999999289e+00,3.155091889882912781e-01,8.430260184050391015e-01,9.001327213494144663e-01,4.143022276391271075e-01,1.106996466578071603e+00,1.181984565399683440e+00
7.249999999999999112e+00,3.105854056831403032e-01,8.349869992284562059e-01,8.908796681392514571e-01,4.135207634162663681e-01,1.111721462263002724e+00,1.186138285122169345e+00
7.299999999999998934e+00,3.057639604113293608e-01,8.281938630934517764e-01,8.828344546697733941e-01,4.127359311514367524e-01,1.117938702775632454e+00,1.191695385586059697e+00
7.349999999999999645e+00,3.010424562790258718e-01,8.212841541092003039e-01,8.747195106280492016e-01,4.119482765828648141e-01,1.123850090953675274e+00,1.196971348661352241e+00
7.399999999999999467e+00,2.964185471654362525e-01,8.141190666314367386e-01,8.664027987930957853e-01,4.111583145365911296e-01,1.129253977084857308e+00,1.201776062490236940e+00
7.449999999999999289e+00,2.918899376225684295e-01,8.067596163267118925e-01,8.579398663198547492e-01,4.103665305244771910e-01,1.134219108119243424e+00,1.206173152825708028e+00
7.499999999999999112e+00,2.874543826558487725e-01,7.991314063443748505e-01,8.492591045811599404e-01,4.095733822575199357e-01,1.138625718420628763e+00,1.210049123838680130e+00
7.549999999999998934e+00,2.831096874006738262e-01,7.913497152716877370e-01,8.404674098147342232e-01,4.087793010800837568e-01,1.142622092831691250e+00,1.213542650267635192e+00
7.599999999999998757e+00,2.788537067133078917e-01,7.833246708855268192e-01,8.314787608626394988e-01,4.079846933374272622e-01,1.146065008070488389e+00,1.216518192515526176e+00
7.649999999999999467e+00,2.746843446753770013e-01,7.751827709904528518e-01,8.224109785564502895e-01,4.071899416629719548e-01,1.149124926179450945e+00,1.219135654699026183e+00
7.699999999999999289e+00,2.705995540337712835e-01,7.668322921675081449e-01,8.131764156406348087e-01,4.063954062052238525e-01,1.151654229362863324e+00,1.221255374683804407e+00
