T_sec,Sa_5pct_ft_s2,Sa_20pct_ft_s2,Sd_5pct_in,Sd_20pct_in
5.849999999999999645e+00,2.212664522838297287e+00,1.052571423059460720e+00,2.301700510644855058e+01,1.094926120494044142e+01
5.899999999999999467e+00,2.198262162137030185e+00,1.031564702263215283e+00,2.325974864470067516e+01,1.091495641359822599e+01
5.949999999999999289e+00,2.174961029980468030e+00,1.010180612072697715e+00,2.340490704634060393e+01,1.087062388689753689e+01
5.999999999999999112e+00,2.145062656025258363e+00,1.008716367316456086e+00,2.347275102790924706e+01,1.103806831995746762e+01
6.049999999999998934e+00,2.108472590026492011e+00,1.010256142465718820e+00,2.345849889421902290e+01,1.123993392800627866e+01
6.099999999999999645e+00,2.066740003880806142e+00,1.011576076651970357e+00,2.337582918802193532e+01,1.144141475662344121e+01
6.149999999999999467e+00,2.020939180201756891e+00,1.012274355916551460e+00,2.323405347475047122e+01,1.163777551887323547e+01
6.199999999999999289e+00,1.976356740384826560e+00,1.012237583177864053e+00,2.309246146441515180e+01,1.182734721152420754e+01
6.249999999999999112e+00,1.931096829745468701e+00,1.011475824307601856e+00,2.292902537317698375e+01,1.200983528255337518e+01
6.299999999999998934e+00,1.880762697861737776e+00,1.010111715652439068e+00,2.269011049821605752e+01,1.218630424229167808e+01
6.349999999999999645e+00,1.829012706999330273e+00,1.008101817981005066e+00,2.241742279047383590e+01,1.235587078375271730e+01
6.399999999999999467e+00,1.774609253771351369e+00,1.005415450466269123e+00,2.209450108044399386e+01,1.251777128368577863e+01
6.449999999999999289e+00,1.724784929170883885e+00,1.002189038205921534e+00,2.181101554827618116e+01,1.267332542448000510e+01
6.499999999999999112e+00,1.688934256250075316e+00,9.983727868497559443e-01,2.169007067355898499e+01,1.282156260682943483e+01
6.549999999999998934e+00,1.649304358054142883e+00,9.939840772985865103e-01,2.150824207714175174e+01,1.296234382147952857e+01
6.599999999999999645e+00,1.615202777816750812e+00,9.891290067896950644e-01,2.138633834014619595e+01,1.309671323736241533e+01
6.649999999999999467e+00,1.586155386837692527e+00,9.837364671749363465e-01,2.132114532980300226e+01,1.322341326512801452e+01
6.699999999999999289e+00,1.579982502627644614e+00,9.779375564410489607e-01,2.155874085544702012e+01,1.334388343988536896e+01
6.749999999999999112e+00,1.571732149239263299e+00,9.716787232594673585e-01,2.176745180641983879e+01,1.345710831843156541e+01
6.799999999999998934e+00,1.561941252744483366e+00,9.650423513420581800e-01,2.195351320837129450e+01,1.356393524378690252e+01
6.849999999999999645e+00,1.549531924198313426e+00,9.580357021644563265e-01,2.210055502483064771e+01,1.366420428052312630e+01
6.899999999999999467e+00,1.534755610460381225e+00,9.506456436179445690e-01,2.221052991930061538e+01,1.375746299040761755e+01
6.949999999999999289e+00,1.517808855788751021e+00,9.429641902916697793e-01,2.228477230008654431e+01,1.384478828651006310e+01
6.999999999999999112e+00,1.498803803170398297e+00,9.349138924915464388e-01,2.232350458157474193e+01,1.392480758206359148e+01
7.049999999999998934e+00,1.488098695429453722e+00,9.266301474701926777e-01,2.248182066996083606e+01,1.399929511852181996e+01
7.099999999999999645e+00,1.478854528776612831e+00,9.180113051846562344e-01,2.266019602185900084e+01,1.406650601596068917e+01
7.149999999999999467e+00,1.462226058006038221e+00,9.092053123940569970e-01,2.272208143686980364e+01,1.412848378534853389e+01
7.199999999999999289e+00,1.436810616302033550e+00,9.001327213494144663e-01,2.264050087181089310e+01,1.418381478479620128e+01
7.249999999999999112e+00,1.403133625399626716e+00,8.908796681392514571e-01,2.241798400053221485e+01,1.423365942146603302e+01
7.299999999999998934e+00,1.362280952014588431e+00,8.828344546697733941e-01,2.206652333243810915e+01,1.430034462703271636e+01
7.349999999999999645e+00,1.324030087762584129e+00,8.747195106280492016e-01,2.174172717852582792e+01,1.436365618393622690e+01
7.399999999999999467e+00,1.307213904655600833e+00,8.664027987930957853e-01,2.175863302414827416e+01,1.442131274988284417e+01
7.449999999999999289e+00,1.290765682227853040e+00,8.579398663198547492e-01,2.177616833455170919e+01,1.447407783390849545e+01
7.499999999999999112e+00,1.274158817965655111e+00,8.492591045811599404e-01,2.178550342990160971e+01,1.452058948606416067e+01
7.549999999999998934e+00,1.257279373400342459e+00,8.404674098147342232e-01,2.178448027998244285e+01,1.456251180321162231e+01
7.599999999999998757e+00,1.240150322451249787e+00,8.314787608626394988e-01,2.177323823137568226e+01,1.459821831018631499e+01
7.649999999999999467e+00,1.222784971679185428e+00,8.224109785564502895e-01,2.175176347408512711e+01,1.462962785638831420e+01
7.699999999999999289e+00,1.205128159007941679e+00,8.131764156406348087e-01,2.171881839753202215e+01,1.465506449620565377e+01
7.749999999999999112e+00,1.187356465121919724e+00,8.038916652745758951e-01,2.167734230923596783e+01,1.467649801857049496e+01
7.799999999999998934e+00,1.169325147831062006e+00,7.944857376290975770e-01,2.162449651564236319e+01,1.469253791125177955e+01
7.849999999999998757e+00,1.151229958378890306e+00,7.850379201904436055e-01,2.156368134746301379e+01,1.470454050770143084e+01
7.899999999999999467e+00,1.132960219451894845e+00,7.755392138617343001e-01,2.149266913520516198e+01,1.471226212423525048e+01
7.949999999999999289e+00,1.114630423743142362e+00,7.660166118613882524e-01,2.141345078091994480e+01,1.471614148156505664e+01
7.999999999999999112e+00,1.096242466550708894e+00,7.565033881394646054e-01,2.132593617982342238e+01,1.471676519342004497e+01
8.049999999999998934e+00,1.077772635692098913e+00,7.470141526258077258e-01,2.122953212290708080e+01,1.471438448541791999e+01
8.099999999999999645e+00,1.059372130806156553e+00,7.375406070901697753e-01,2.112710986506823474e+01,1.470880815420879095e+01
8.150000000000000355e+00,1.040930138686306572e+00,7.280530895246826173e-01,2.101639923762083484e+01,1.469940568244526702e+01
8.199999999999999289e+00,1.022532377463631459e+00,7.185820896519614642e-01,2.089903736761700159e+01,1.468674662467672221e+01
8.250000000000000000e+00,1.004213859533566566e+00,7.090759628520298952e-01,2.077569769877280237e+01,1.466973166106518534e+01
8.300000000000000711e+00,9.859241671445589938e-01,6.996121306858068545e-01,2.064530039332436928e+01,1.464991231389950244e+01
8.349999999999999645e+00,9.677711105084791932e-01,6.901284416452456716e-01,2.051006864418391018e+01,1.462596016532324406e+01
8.400000000000000355e+00,9.497137896111934596e-01,6.806414905025399698e-01,2.036914620029837764e+01,1.459817281974088488e+01
8.449999999999999289e+00,9.317442764681269640e-01,6.712140140670214139e-01,2.022235177729280409e+01,1.456786615503979476e+01
8.500000000000000000e+00,9.139753373688732641e-01,6.617904027610170825e-01,2.007214740570934453e+01,1.453382161726947253e+01
8.550000000000000711e+00,8.963201804739080458e-01,6.523791400646735683e-01,1.991667852032501074e+01,1.449618773412456818e+01
8.599999999999999645e+00,8.788227642050251420e-01,6.430028753878302972e-01,1.975694131167897183e+01,1.445544037968782014e+01
8.650000000000000355e+00,8.615269032963849272e-01,6.336995525198938495e-01,1.959397583801195353e+01,1.441242713735912417e+01
8.699999999999999289e+00,8.443823201855418237e-01,6.244283723279316911e-01,1.942670502815374789e+01,1.436622429252113520e+01
8.750000000000000000e+00,8.274472924753671910e-01,6.151960226242968455e-01,1.925652663134691167e+01,1.431697064078089099e+01
8.800000000000000711e+00,8.107146370559278337e-01,6.060087622001936181e-01,1.908336107777983415e+01,1.426480230745718103e+01
8.849999999999999645e+00,7.941616251720062802e-01,5.968957664361499438e-01,1.890675290308567824e+01,1.421040806707570248e+01
8.900000000000000355e+00,7.778498718960883407e-01,5.878659503505856421e-01,1.872825470474436571e+01,1.415402077983904405e+01
8.949999999999999289e+00,7.617462281734073137e-01,5.788952017024198149e-01,1.854718024023096490e+01,1.409507950164138634e+01
9.000000000000000000e+00,7.458429472343600652e-01,5.699883053510563791e-01,1.836343472469323501e+01,1.403370921179160469e+01
9.050000000000000711e+00,7.301897398013658114e-01,5.611496962095815499e-01,1.817834719620995543e+01,1.397003196665080260e+01
9.099999999999999645e+00,7.147607811799756572e-01,5.523834745260287615e-01,1.799140205142794358e+01,1.390416687434348297e+01
9.150000000000000355e+00,6.995465526194882822e-01,5.437225172898679793e-01,1.780247227899652174e+01,1.383697054223668133e+01
9.199999999999999289e+00,6.845667074912159533e-01,5.351522457137504185e-01,1.761217281890078112e+01,1.376811599628421767e+01
9.250000000000000000e+00,6.698415932289426555e-01,5.266628170175835510e-01,1.742116066404610208e+01,1.369738404391159037e+01
9.300000000000000711e+00,6.553403441119241002e-01,5.182572079511515994e-01,1.722877150658163004e+01,1.362488224272119197e+01
9.349999999999999645e+00,6.410660605119374855e-01,5.099381296520910656e-01,1.703521095604977731e+01,1.355071520432654708e+01
9.400000000000000355e+00,6.270282457446074709e-01,5.017080405898610707e-01,1.684086216906878875e+01,1.347498460879356941e+01
9.449999999999999289e+00,6.132514375080955205e-01,4.935691591280466639e-01,1.664652936606719891e+01,1.339778922491585966e+01
9.500000000000000000e+00,5.997050928248549573e-01,4.855513921561522839e-01,1.645153617954614944e+01,1.331999075988982817e+01
9.550000000000000711e+00,5.863905051242976896e-01,4.776312487024745312e-01,1.625605582662337056e+01,1.324100607973082866e+01
9.599999999999999645e+00,5.733085577713407099e-01,4.698060734453877174e-01,1.606025364452549553e+01,1.316080948207447321e+01
9.650000000000000355e+00,5.604597533536559428e-01,4.620772999744185983e-01,1.586428733939382596e+01,1.307948878744877952e+01
9.699999999999999289e+00,5.478670172376887137e-01,4.544461765797693786e-01,1.566895861992333394e+01,1.299712906922722766e+01
9.750000000000000000e+00,5.355089023953698568e-01,4.469137763771177108e-01,1.547381626410709998e+01,1.291381269410164911e+01
9.800000000000000711e+00,5.233813962289675104e-01,4.394810069937860608e-01,1.527889485264941172e+01,1.282961936357587263e+01
9.849999999999999645e+00,5.114838458626110862e-01,4.321486198942426360e-01,1.508432539496550717e+01,1.274462615818563194e+01
9.900000000000000355e+00,4.998153369282968828e-01,4.249336866306308580e-01,1.489023242925586210e+01,1.265939816860478828e+01
9.949999999999999289e+00,4.883747145211846385e-01,4.178257955650421240e-01,1.469673424875476542e+01,1.257369494592781933e+01
1.000000000000000000e+01,4.771606029603115418e-01,4.108185060035696723e-01,1.450394312382910655e+01,1.248738518713756029e+01
