set_name,record_id,split,weight,scale_factor,notes
peer_mle_all,RSN5495_IWATE_AKTH19EW,all,1.0,1.0,PEER result_id=52; RSN=5495
peer_mle_all,RSN5620_IWATE_IWT012NS,all,1.0,1.0,PEER result_id=53; RSN=5620
peer_mle_all,RSN5620_IWATE_IWT012EW,all,1.0,1.0,PEER result_id=53; RSN=5620
peer_mle_all,RSN5622_IWATE_IWT014NS,all,1.0,1.0,PEER result_id=54; RSN=5622
peer_mle_all,RSN5622_IWATE_IWT014EW,all,1.0,1.0,PEER result_id=54; RSN=5622
peer_mle_all,RSN5632_IWATE_IWT025NS,all,1.0,1.0,PEER result_id=55; RSN=5632
peer_mle_all,RSN5632_IWATE_IWT025EW,all,1.0,1.0,PEER result_id=55; RSN=5632
peer_mle_all,RSN5637_IWATE_IWTH05NS,all,1.0,1.0,PEER result_id=56; RSN=5637
peer_mle_all,RSN5637_IWATE_IWTH05EW,all,1.0,1.0,PEER result_id=56; RSN=5637
peer_mle_all,RSN5652_IWATE_IWTH20NS,all,1.0,1.0,PEER result_id=57; RSN=5652
peer_mle_all,RSN5652_IWATE_IWTH20EW,all,1.0,1.0,PEER result_id=57; RSN=5652
peer_mle_all,RSN5664_IWATE_MYG005NS,all,1.0,1.0,PEER result_id=58; RSN=5664
peer_mle_all,RSN5664_IWATE_MYG005EW,all,1.0,1.0,PEER result_id=58; RSN=5664
peer_mle_all,RSN5745_IWATE_YMT002NS,all,1.0,1.0,PEER result_id=59; RSN=5745
peer_mle_all,RSN5745_IWATE_YMT002EW,all,1.0,1.0,PEER result_id=59; RSN=5745
peer_mle_all,RSN5760_IWATE_YMT017NS,all,1.0,1.0,PEER result_id=60; RSN=5760
peer_mle_all,RSN5760_IWATE_YMT017EW,all,1.0,1.0,PEER result_id=60; RSN=5760
peer_mle_all,RSN5774_IWATE_54008NS,all,1.0,1.0,PEER result_id=61; RSN=5774
peer_mle_all,RSN5774_IWATE_54008EW,all,1.0,1.0,PEER result_id=61; RSN=5774
peer_mle_all,RSN5777_IWATE_54011NS,all,1.0,1.0,PEER result_id=62; RSN=5777
peer_mle_all,RSN5777_IWATE_54011EW,all,1.0,1.0,PEER result_id=62; RSN=5777
peer_mle_all,RSN5783_IWATE_54026NS,all,1.0,1.0,PEER result_id=63; RSN=5783
peer_mle_all,RSN5783_IWATE_54026EW,all,1.0,1.0,PEER result_id=63; RSN=5783
peer_mle_all,RSN5784_IWATE_54031NS,all,1.0,1.0,PEER result_id=64; RSN=5784
peer_mle_all,RSN5784_IWATE_54031EW,all,1.0,1.0,PEER result_id=64; RSN=5784
peer_mle_all,RSN5785_IWATE_54036NS,all,1.0,1.0,PEER result_id=65; RSN=5785
peer_mle_all,RSN5785_IWATE_54036EW,all,1.0,1.0,PEER result_id=65; RSN=5785
peer_mle_all,RSN5786_IWATE_54038NS,all,1.0,1.0,PEER result_id=66; RSN=5786
peer_mle_all,RSN5786_IWATE_54038EW,all,1.0,1.0,PEER result_id=66; RSN=5786
peer_mle_all,RSN5801_IWATE_55442NS,all,1.0,1.0,PEER result_id=67; RSN=5801
peer_mle_all,RSN5801_IWATE_55442EW,all,1.0,1.0,PEER result_id=67; RSN=5801
peer_mle_all,RSN5803_IWATE_55445NS,all,1.0,1.0,PEER result_id=68; RSN=5803
peer_mle_all,RSN5803_IWATE_55445EW,all,1.0,1.0,PEER result_id=68; RSN=5803
peer_mle_all,RSN5812_IWATE_44B61NS,all,1.0,1.0,PEER result_id=69; RSN=5812
peer_mle_all,RSN5812_IWATE_44B61EW,all,1.0,1.0,PEER result_id=69; RSN=5812
peer_mle_all,RSN5817_IWATE_48A51NS,all,1.0,1.0,PEER result_id=70; RSN=5817
peer_mle_all,RSN5817_IWATE_48A51EW,all,1.0,1.0,PEER result_id=70; RSN=5817
peer_mle_all,RSN5836_SIERRA.MEX_EMO360,all,1.0,1.0,PEER result_id=71; RSN=5836
peer_mle_all,RSN5836_SIERRA.MEX_EMO270,all,1.0,1.0,PEER result_id=71; RSN=5836
peer_mle_all,RSN6886_DARFIELD_CACSN40E,all,1.0,1.0,PEER result_id=72; RSN=6886
peer_mle_all,RSN6886_DARFIELD_CACSN50W,all,1.0,1.0,PEER result_id=72; RSN=6886
peer_mle_all,RSN6893_DARFIELD_DFHSS17E,all,1.0,1.0,PEER result_id=73; RSN=6893
peer_mle_all,RSN6893_DARFIELD_DFHSS73W,all,1.0,1.0,PEER result_id=73; RSN=6893
peer_mle_all,RSN6896_DARFIELD_DORCN20W,all,1.0,1.0,PEER result_id=74; RSN=6896
peer_mle_all,RSN6896_DARFIELD_DORCN70E,all,1.0,1.0,PEER result_id=74; RSN=6896
peer_mle_all,RSN6923_DARFIELD_KPOCN15E,all,1.0,1.0,PEER result_id=75; RSN=6923
peer_mle_all,RSN6923_DARFIELD_KPOCS75E,all,1.0,1.0,PEER result_id=75; RSN=6923
peer_mle_all,RSN6933_DARFIELD_MAYCN14E,all,1.0,1.0,PEER result_id=76; RSN=6933
peer_mle_all,RSN6933_DARFIELD_MAYCN76W,all,1.0,1.0,PEER result_id=76; RSN=6933
peer_mle_all,RSN6952_DARFIELD_PPHSS33W,all,1.0,1.0,PEER result_id=77; RSN=6952
peer_mle_all,RSN6952_DARFIELD_PPHSS57E,all,1.0,1.0,PEER result_id=77; RSN=6952
peer_mle_all,RSN6960_DARFIELD_RHSCN86W,all,1.0,1.0,PEER result_id=78; RSN=6960
peer_mle_all,RSN6960_DARFIELD_RHSCS04W,all,1.0,1.0,PEER result_id=78; RSN=6960
peer_mle_all,RSN6961_DARFIELD_RKACN14E,all,1.0,1.0,PEER result_id=79; RSN=6961
peer_mle_all,RSN6961_DARFIELD_RKACS76E,all,1.0,1.0,PEER result_id=79; RSN=6961
peer_mle_all,RSN6965_DARFIELD_SBRCS31E,all,1.0,1.0,PEER result_id=80; RSN=6965
peer_mle_all,RSN6965_DARFIELD_SBRCS59W,all,1.0,1.0,PEER result_id=80; RSN=6965
peer_mle_all,RSN6971_DARFIELD_SPFSN17E,all,1.0,1.0,PEER result_id=81; RSN=6971
peer_mle_all,RSN6971_DARFIELD_SPFSN73W,all,1.0,1.0,PEER result_id=81; RSN=6971
peer_mle_all,RSN6988_DARFIELD_WSFCN38W,all,1.0,1.0,PEER result_id=82; RSN=6988
peer_mle_all,RSN6988_DARFIELD_WSFCS52W,all,1.0,1.0,PEER result_id=82; RSN=6988
peer_expansion_30k,RSN880_LANDERS_MCF000,all,1.0,1.0,PEER result_id=12; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN880_LANDERS_MCF090,all,1.0,1.0,PEER result_id=12; expansion_npts_max=30000; allow_npts_policy_excluded=true
