record_id,source,database,event_name,event_year,station_name,station_id,component,component_angle_deg,tectonic_region,magnitude,mechanism,rrup_km,rjb_km,rx_km,vs30_m_per_s,site_class,dt_sec,npts,duration_sec,raw_units,processed_units,pga_g,pgv_cm_s,arias_intensity,significant_duration_5_95_sec,scale_factor,raw_file,processed_file,scaled_file,download_url,citation,license_notes,usable,notes
RSN1000_NORTHR_PIC180,PEER,NGA-West2,Northridge-01,1994,LA - Pico & Sentous,RSN1000,PIC180,180,,6.69,Reverse,31.33,27.82,,304.68,D,0.01,4000,39.99,g,in/sec^2,0.186259,14.22504,0.3,20.1,1.0,raw/RSN1000_NORTHR_PIC180.AT2,processed/RSN1000_NORTHR_PIC180_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=16; horizontal_component=2; vertical_file=RSN1000_NORTHR_PIC-UP.AT2
RSN1002_NORTHR_VRM000,PEER,NGA-West2,Northridge-01,1994,LA - S. Vermont Ave,RSN1002,VRM000,0,,6.69,Reverse,32.27,27.89,,301.93,D,0.01,3743,37.42,g,in/sec^2,0.1372307,9.270316,0.3,21.0,1.0,raw/RSN1002_NORTHR_VRM000.AT2,processed/RSN1002_NORTHR_VRM000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=17; horizontal_component=1; vertical_file=RSN1002_NORTHR_VRM-UP.AT2
RSN1002_NORTHR_VRM090,PEER,NGA-West2,Northridge-01,1994,LA - S. Vermont Ave,RSN1002,VRM090,90,,6.69,Reverse,32.27,27.89,,301.93,D,0.01,3743,37.42,g,in/sec^2,0.06750731,6.489255,0.3,21.0,1.0,raw/RSN1002_NORTHR_VRM090.AT2,processed/RSN1002_NORTHR_VRM090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=17; horizontal_component=2; vertical_file=RSN1002_NORTHR_VRM-UP.AT2
RSN1008_NORTHR_W15090,PEER,NGA-West2,Northridge-01,1994,LA - W 15th St,RSN1008,W15090,,,6.69,Reverse,29.74,25.59,,329.52,D,0.01,3999,39.980000000000004,g,in/sec^2,0.09887105,13.61953,0.3,20.2,1.0,raw/RSN1008_NORTHR_W15090.AT2,processed/RSN1008_NORTHR_W15090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=18; horizontal_component=1; vertical_file=RSN1008_NORTHR_W15-UP.AT2
RSN1008_NORTHR_W15180,PEER,NGA-West2,Northridge-01,1994,LA - W 15th St,RSN1008,W15180,,,6.69,Reverse,29.74,25.59,,329.52,D,0.01,3999,39.980000000000004,g,in/sec^2,0.1732026,12.47803,0.3,20.2,1.0,raw/RSN1008_NORTHR_W15180.AT2,processed/RSN1008_NORTHR_W15180_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=18; horizontal_component=2; vertical_file=RSN1008_NORTHR_W15-UP.AT2
RSN1026_NORTHR_LOA092,PEER,NGA-West2,Northridge-01,1994,Lawndale - Osage Ave,RSN1026,LOA092,92,,6.69,Reverse,39.91,34.31,,311.86,D,0.01,3999,39.980000000000004,g,in/sec^2,0.08135629,10.14826,0.2,23.3,1.0,raw/RSN1026_NORTHR_LOA092.AT2,processed/RSN1026_NORTHR_LOA092_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=19; horizontal_component=1; vertical_file=RSN1026_NORTHR_LOA-UP.AT2
RSN1026_NORTHR_LOA182,PEER,NGA-West2,Northridge-01,1994,Lawndale - Osage Ave,RSN1026,LOA182,182,,6.69,Reverse,39.91,34.31,,311.86,D,0.01,3999,39.980000000000004,g,in/sec^2,0.1474703,9.049863,0.2,23.3,1.0,raw/RSN1026_NORTHR_LOA182.AT2,processed/RSN1026_NORTHR_LOA182_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=19; horizontal_component=2; vertical_file=RSN1026_NORTHR_LOA-UP.AT2
RSN1035_NORTHR_MAN000,PEER,NGA-West2,Northridge-01,1994,Manhattan Beach - Manhattan,RSN1035,MAN000,0,,6.69,Reverse,39.29,33.56,,351.57,D,0.01,3499,34.980000000000004,g,in/sec^2,0.1561244,18.85195,0.2,20.4,1.0,raw/RSN1035_NORTHR_MAN000.AT2,processed/RSN1035_NORTHR_MAN000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=20; horizontal_component=1; vertical_file=RSN1035_NORTHR_MAN-UP.AT2
RSN1035_NORTHR_MAN090,PEER,NGA-West2,Northridge-01,1994,Manhattan Beach - Manhattan,RSN1035,MAN090,90,,6.69,Reverse,39.29,33.56,,351.57,D,0.01,3499,34.980000000000004,g,in/sec^2,0.1234834,11.27143,0.2,20.4,1.0,raw/RSN1035_NORTHR_MAN090.AT2,processed/RSN1035_NORTHR_MAN090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=20; horizontal_component=2; vertical_file=RSN1035_NORTHR_MAN-UP.AT2
RSN1057_NORTHR_SAR000,PEER,NGA-West2,Northridge-01,1994,Playa Del Rey - Saran,RSN1057,SAR000,0,,6.69,Reverse,31.74,24.42,,345.72,D,0.01,4499,44.980000000000004,g,in/sec^2,0.1434895,15.31823,0.3,29.7,1.0,raw/RSN1057_NORTHR_SAR000.AT2,processed/RSN1057_NORTHR_SAR000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=21; horizontal_component=1; vertical_file=RSN1057_NORTHR_SAR-UP.AT2
